15 14
com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,
com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.text.item_ref.FlagText3 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Rock0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Keke0 ,
com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall3 ,com.mygdx.game.objects.Wall3 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,
com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.text.property.Stop3 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.text.property.Win3 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.text.item_ref.RockText3 ,com.mygdx.game.objects.text.relation.Is0 ,com.mygdx.game.objects.text.property.Stop0 ,com.mygdx.game.objects.Empty0 ,
com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.text.relation.Is3 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall3 ,com.mygdx.game.objects.Wall3 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.text.property.Push0 ,com.mygdx.game.objects.Empty0 ,
com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.text.item_ref.WallText3 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,
com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.text.item_ref.BabaText3 ,com.mygdx.game.objects.text.relation.Is3 ,com.mygdx.game.objects.text.property.You3 ,
com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,
com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,
com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Rock0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,
com.mygdx.game.objects.text.property.You23 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Wall0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Flag3 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,com.mygdx.game.objects.Empty0 ,
